id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
427206.0,11.0,MissedShots,0.8769999694824219,0.4729999923706054,0.0341730006039142,Stefano Sensi,h,1465.0,OpenPlay,2021.0,Head,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,Nicolò Barella,Aerial
427207.0,11.0,SavedShot,0.754000015258789,0.5640000152587891,0.0227010007947683,Marcelo Brozovic,h,1511.0,OpenPlay,2021.0,RightFoot,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,Hakan Calhanoglu,Pass
427208.0,13.0,Goal,0.7530000305175781,0.595999984741211,0.02941619977355,Hakan Calhanoglu,h,189.0,OpenPlay,2021.0,RightFoot,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,Edin Dzeko,Pass
427209.0,23.0,BlockedShot,0.8819999694824219,0.4970000076293945,0.1299040019512176,Edin Dzeko,h,1253.0,OpenPlay,2021.0,RightFoot,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,Matteo Darmian,Cross
427210.0,27.0,MissedShots,0.7769999694824219,0.6419999694824219,0.0240375008434057,Marcelo Brozovic,h,1511.0,OpenPlay,2021.0,RightFoot,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,,
427211.0,36.0,BlockedShot,0.865,0.4359999847412109,0.091168999671936,Marcelo Brozovic,h,1511.0,OpenPlay,2021.0,LeftFoot,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,,
427212.0,38.0,MissedShots,0.905,0.5790000152587891,0.041109099984169,Milan Skriniar,h,1223.0,FromCorner,2021.0,Head,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,Hakan Calhanoglu,Cross
427216.0,51.0,MissedShots,0.8819999694824219,0.3039999961853027,0.0610142014920711,Nicolò Barella,h,1409.0,OpenPlay,2021.0,RightFoot,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,Stefano Sensi,BallTouch
427221.0,67.0,BlockedShot,0.865999984741211,0.6780000305175782,0.1006850004196167,Ivan Perisic,h,448.0,OpenPlay,2021.0,LeftFoot,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,Hakan Calhanoglu,Pass
427222.0,70.0,SavedShot,0.9519999694824218,0.4729999923706054,0.4615130126476288,Edin Dzeko,h,1253.0,FromCorner,2021.0,Head,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,Federico Dimarco,Cross
427223.0,73.0,SavedShot,0.8059999847412109,0.6140000152587891,0.056115299463272,Edin Dzeko,h,1253.0,OpenPlay,2021.0,RightFoot,16757.0,Inter,Genoa,4.0,0.0,2021-08-21 16:30:00,Marcelo Brozovic,Pass
