50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,1.84,,,,,,,,,,,,,9e7d1fca-1289-4aea-be40-b110f55ccf44,1211,,"[101.0, 36.0]",7451,37,,,,,,,,,,,,,,,,,,1,From Free Kick,Samantha June Mewis,5087.0,Center Defensive Midfield,98,North Carolina Courage,766,['dbaaee3e-bbd0-457c-82d8-927486487128'],47,,Head,"[120.0, 38.0, 2.7]",,"[{'location': [97.0, 40.0], 'player': {'id': 5023, 'name': 'Mallory Pugh'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [95.0, 43.0], 'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.0, 53.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [94.0, 54.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [104.0, 46.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [118.0, 39.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.0, 45.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [106.0, 37.0], 'player': {'id': 4951, 'name': 'Quinn Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.0, 35.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [109.0, 35.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.0, 32.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [107.0, 31.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [104.0, 30.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.0, 36.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [98.0, 33.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",f779f31e-1bdd-4796-906c-0333be1d08ad,,Post,0.059717406,Normal,Open Play,,,,North Carolina Courage,766,00:37:47.307,Shot,
,,,,,,,,,,,,2.173,,,,,,,,,,,,,cc39d19d-228f-4f05-bb23-2f75257a7dc2,1354,,"[104.0, 40.0]",7451,42,,,,,,,,,,,,,,,,,,1,From Free Kick,Mallory Pugh,5023.0,Right Wing,108,Washington Spirit,759,"['1d87f0c6-3f40-4449-b5ee-f6f88ecfdd5a', 'baf9e044-4009-4bbe-8173-d5e2a1f6f4ef']",21,True,Head,"[105.0, 28.0]",,"[{'location': [105.0, 40.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.0, 37.0], 'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.0, 32.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [105.0, 27.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [119.0, 41.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.0, 43.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.0, 49.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [104.0, 43.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [95.0, 42.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [103.0, 47.0], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.0, 53.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}]",f43b591a-9e88-4193-95bb-179a96c1039a,,Wayward,0.03493159,Normal,Open Play,,,,Washington Spirit,759,00:42:21.307,Shot,True
,,,,,,,,,,,,0.56,,,,,,,,,,,,,82011de6-4830-476c-b782-7ed741b0d554,1375,,"[112.0, 40.0]",7451,43,,,,,,,,,,,,,,,,,,1,From Corner,Samantha June Mewis,5087.0,Center Defensive Midfield,110,North Carolina Courage,766,['b8527ec0-9ef2-4450-a94c-606e3d420ee9'],14,,Head,"[120.0, 33.3, 0.2]",,"[{'location': [119.0, 41.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.0, 42.0], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [109.0, 39.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [104.0, 37.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [104.0, 33.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [107.0, 34.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [108.0, 34.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [104.0, 26.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [113.0, 40.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.0, 42.0], 'player': {'id': 4951, 'name': 'Quinn Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.0, 39.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.0, 45.0], 'player': {'id': 5023, 'name': 'Mallory Pugh'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [113.0, 43.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.0, 36.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [119.0, 79.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [118.0, 37.0], 'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [119.0, 43.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 38.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",f823fd22-c189-4894-8310-9bbb7c30ef61,,Off T,0.07739922,Normal,Open Play,,,,North Carolina Courage,766,00:43:14.627,Shot,
,,,,,,,,,,,,1.253,,,,,,,,,,,,,8141eca6-0315-4c14-ae46-972023874981,1391,,"[98.0, 31.0]",7451,44,,,,,,,,,,,,,,,,,,1,From Counter,Ashley Hatch,4964.0,Center Forward,113,Washington Spirit,759,['2b214bdf-6c51-43c2-b2f1-2ba49f09a3a3'],3,,Right Foot,"[120.0, 34.8, 0.9]",,"[{'location': [96.0, 26.0], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [94.0, 32.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [103.0, 26.0], 'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.0, 30.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.0, 33.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [93.0, 37.0], 'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [99.0, 35.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [120.0, 41.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.0, 34.0], 'player': {'id': 5023, 'name': 'Mallory Pugh'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [105.0, 42.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [94.0, 41.0], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}]",2157b01d-07cd-4133-a522-f99922e44c90,,Off T,0.058190588,Normal,Open Play,,,,Washington Spirit,759,00:44:03.787,Shot,
,,,,,,,,,,,,0.1,,,,,,,,,,,,,43312174-994f-42b5-9c7b-0ca0709d458d,1404,,"[102.0, 25.0]",7451,44,,,,,,,,,,,,,,,,,,1,From Goal Kick,Débora Cristiane de Oliveira,5044.0,Right Midfield,114,North Carolina Courage,766,"['802b6711-42f3-4bf4-80c3-cbaa363a0e7a', 'a8ca6d58-38c0-4ddf-ab6a-8aeb406d254e', 'bb5d0117-048f-43a0-b90e-d14d8f57caf2']",30,,Left Foot,"[103.0, 26.0]",,"[{'location': [98.0, 27.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.0, 28.0], 'player': {'id': 4951, 'name': 'Quinn Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.0, 51.0], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [107.0, 32.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.0, 30.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [101.0, 45.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.0, 43.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [105.0, 40.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.0, 37.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",f3320987-5b9d-46f2-94a4-4a6ff9ca94b4,,Blocked,0.037927307,Normal,Open Play,,,,North Carolina Courage,766,00:44:30.267,Shot,True
,,,,,,,,,,,,0.893,,,,,,,,,,,,,6a598d74-9372-478d-b790-9cb8ed2b1294,1547,,"[115.0, 40.0]",7451,47,,,,,,,,,,,,,,,,,,2,From Free Kick,Tori Huster,5029.0,Center Defensive Midfield,129,Washington Spirit,759,['cc54c895-ec17-47e9-8799-272ac22098c7'],52,,Right Foot,"[120.0, 44.0, 0.6]",,"[{'location': [119.0, 40.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.0, 47.0], 'player': {'id': 5023, 'name': 'Mallory Pugh'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [111.0, 43.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [109.0, 53.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.0, 37.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.0, 40.0], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [115.0, 33.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.0, 33.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [114.0, 29.0], 'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.0, 38.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,Saved,0.4689294,Normal,Open Play,,,,Washington Spirit,759,00:02:52.360,Shot,
,,,,,,,,,,,,0.653,,,,,,,,,,,,,895de69c-f642-46c2-9337-d2d1b0413fa9,1550,,"[118.0, 50.0]",7451,47,,,,,,,,,,,,,,,,,,2,From Free Kick,Mallory Pugh,5023.0,Right Wing,129,Washington Spirit,759,['fd05055c-3e29-4dcb-b2e5-a0aaed44dd24'],54,,Right Foot,"[119.0, 36.2, 2.0]",True,"[{'location': [119.0, 44.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.0, 52.0], 'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.0, 41.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [115.0, 41.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [114.0, 39.0], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [118.0, 36.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.0, 37.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [119.0, 41.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",,,Saved,0.02216695,Normal,Open Play,,,,Washington Spirit,759,00:02:54.360,Shot,
,,,,,,,,,,,,0.2,,,,,,,,,,,,,fb388802-89de-41ad-bda8-de44963afccd,1677,,"[108.0, 25.0]",7451,52,,,,,,,,,,,,,,,,,,2,From Corner,Débora Cristiane de Oliveira,5044.0,Right Midfield,137,North Carolina Courage,766,"['1cadfbcc-44e1-426c-8d57-503eed970020', 'a930f662-5836-4721-a60f-47af27cf7b37']",20,,Right Foot,"[111.0, 31.0]",,"[{'location': [119.0, 39.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.0, 36.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [116.0, 39.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [114.0, 48.0], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [116.0, 44.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [107.0, 30.0], 'player': {'id': 4945, 'name': 'Havana Solaun'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [118.0, 45.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [116.0, 47.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.0, 47.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.0, 35.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.0, 38.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [110.0, 28.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [114.0, 41.0], 'player': {'id': 4951, 'name': 'Quinn Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",2c7a5ccc-a621-4d74-94c0-ba234c9d09c5,,Blocked,0.04082756,Normal,Open Play,,,,North Carolina Courage,766,00:07:20.920,Shot,
,,,,,,,,,,,,0.933,,,,,,,,,,,,,d9f08362-6756-42b3-a712-e3a112a5a44e,1708,,"[115.0, 46.0]",7451,52,,,,,,,,,,,,,,,,,,2,From Corner,Jessica McDonald,5034.0,Left Center Forward,137,North Carolina Courage,766,['74ab406c-fbe7-4245-8f58-b68cd92aedaa'],56,,Head,"[120.0, 43.8, 6.0]",,"[{'location': [115.0, 43.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.0, 36.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [120.0, 43.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.0, 34.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [117.0, 39.0], 'player': {'id': 5080, 'name': 'Kristen Hamilton'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [116.0, 40.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",d7e19b79-b96f-43f5-98df-ef2517365a45,,Off T,0.16838518,Normal,Open Play,,,,North Carolina Courage,766,00:07:56.560,Shot,
,,,,,,,,,,,,0.173,,,,,,,,,,,,,f9d62991-577a-4c07-9702-0f6ed39eee35,1780,,"[109.0, 36.0]",7451,55,,,,,,,,,,,,,,,,,,2,Regular Play,Kristen Hamilton,5080.0,Right Center Forward,143,North Carolina Courage,766,['75773474-9180-4358-b64c-a8357a47c527'],49,,Left Foot,"[120.0, 45.8, 0.2]",,"[{'location': [108.0, 37.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.0, 37.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.0, 41.0], 'player': {'id': 4951, 'name': 'Quinn Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",,True,Off T,0.34144115,Normal,Open Play,,,,North Carolina Courage,766,00:10:49.480,Shot,
,,,,,,,,,,,,0.2,,,,,,,,,,,,,7d8fe7d0-c375-48ce-a020-9ba7ca53b236,1902,,"[103.0, 54.0]",7451,61,,,,,,,,,,,,,,,,,,2,Regular Play,Denise O'Sullivan,5084.0,Left Midfield,153,North Carolina Courage,766,"['9d2dbe2d-e555-4169-9fe9-717ed831df7d', 'a02ffe25-1132-4f05-8fbd-2ebe7a69c632', 'd1c00559-e57c-473f-ae78-7787a938cd3e']",18,,Right Foot,"[107.0, 51.0]",,"[{'location': [107.0, 34.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.0, 56.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [105.0, 62.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.0, 45.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [96.0, 47.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [104.0, 33.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [107.0, 41.0], 'player': {'id': 5080, 'name': 'Kristen Hamilton'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [108.0, 44.0], 'player': {'id': 4951, 'name': 'Quinn Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.0, 51.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [120.0, 41.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",d0131cd1-3fc9-40dc-b754-aad05d3f450f,,Blocked,0.059390876,Normal,Open Play,,,,North Carolina Courage,766,00:16:18.040,Shot,True
