bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,2.017,,,,,,,,,,,,,60d196a6-697d-43a6-968a-0a279010c77c,1488,,,"[94.0, 61.0]",7483,51,,,,,,,,,,,,,,,,,,2,Regular Play,Kristen Edmonds,5068.0,Right Midfield,119,Orlando Pride,764,['3969c5b6-a9a3-4e92-8d6b-0225ea06cddc'],49,,Right Foot,"[119.0, 39.7, 0.6]",True,"[{'location': [89.0, 18.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [79.0, 69.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [90.0, 43.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.0, 39.0], 'player': {'id': 4987, 'name': 'Sydney Miramontez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [91.0, 58.0], 'player': {'id': 4976, 'name': 'Lo’eau LaBonta'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [89.0, 61.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.0, 56.0], 'player': {'id': 5031, 'name': 'Abby Smith'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",793cf039-e0bc-4d98-803a-22eaacda2e03,,Goal,0.08870972,Lob,Open Play,,,,Orlando Pride,764,00:06:49.635,Shot,
,,,,,,,,,,,,,0.173,,,,,,,,,,,,,5181f103-4fe3-4a11-a8c5-040da919778d,1729,,,"[110.0, 43.0]",7483,58,,,,,,,,,,,,,,,,,,2,From Throw In,Amy Rodriguez,5024.0,Center Forward,130,Utah Royals,767,"['05d0f5b7-a16a-426b-bac4-19e7faf0aaf0', 'c1528091-def4-4bb4-93fd-418998a10458']",29,,Right Foot,"[114.0, 43.0]",,"[{'location': [100.0, 40.0], 'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [108.0, 45.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [112.0, 50.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.0, 42.0], 'player': {'id': 5089, 'name': 'Ali Krieger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 45.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [108.0, 42.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.0, 43.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [112.0, 33.0], 'player': {'id': 5068, 'name': 'Kristen Edmonds'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [102.0, 50.0], 'player': {'id': 8199, 'name': 'Toni Pressley'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 5090, 'name': 'Ashlyn Harris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [118.0, 76.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [115.0, 66.0], 'player': {'id': 5063, 'name': 'Chioma Ubogagu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}]",a4f15cf4-5658-4e7d-a027-f7901d52a1ec,,Blocked,0.16277653,Normal,Open Play,,,,Utah Royals,767,00:13:29.328,Shot,
,,,,,,,,,,,,,1.487,,,,,,,,,,,,,6d0e7d87-347f-4c3c-8c81-c3541ae8a6f1,1739,,,"[98.0, 42.0]",7483,58,,,,,,,,,,,,,,,,,,2,From Throw In,Christen Annemarie Press,6817.0,Left Wing,130,Utah Royals,767,['ffd87a20-6992-450f-8115-f910872a18c5'],35,,Left Foot,"[120.0, 35.0, 4.3]",,"[{'location': [106.0, 42.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.0, 58.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [119.0, 41.0], 'player': {'id': 5090, 'name': 'Ashlyn Harris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.0, 43.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [99.0, 44.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [110.0, 36.0], 'player': {'id': 5068, 'name': 'Kristen Edmonds'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [110.0, 42.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [106.0, 44.0], 'player': {'id': 5024, 'name': 'Amy Rodriguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.0, 43.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [105.0, 46.0], 'player': {'id': 8199, 'name': 'Toni Pressley'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [113.0, 41.0], 'player': {'id': 5089, 'name': 'Ali Krieger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.0, 73.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [101.0, 53.0], 'player': {'id': 5063, 'name': 'Chioma Ubogagu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}]",908043c4-5101-4f3a-b707-b103cb3b288f,,Off T,0.051179927,Normal,Open Play,,,,Utah Royals,767,00:13:35.516,Shot,
,,,,,,,,,,,,,0.607,,,,,,,,,,,,,31e59eee-313a-4a86-90da-45155e461836,1885,,,"[87.0, 22.0]",7483,64,,,,,,,,,,,,,,,,,,2,Regular Play,Sydney Rae Leroux,5067.0,Right Center Forward,139,Orlando Pride,764,"['6396dded-e706-43bf-984f-dfb6cfe7dc47', 'ebb011a1-0d77-402b-a2ee-4e469ddc11cf']",10,,Right Foot,"[107.0, 32.0]",,"[{'location': [107.0, 16.0], 'player': {'id': 5086, 'name': 'Rachel Hill'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [96.0, 38.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [71.0, 10.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [73.0, 19.0], 'player': {'id': 4987, 'name': 'Sydney Miramontez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [75.0, 32.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [79.0, 17.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [97.0, 23.0], 'player': {'id': 5031, 'name': 'Abby Smith'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 28.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",,,Blocked,0.12432386,Normal,Open Play,,,,Orlando Pride,764,00:19:10.679,Shot,
,,,,,,,,,,,,,0.902,,,,,,,,,,,,,65b1f9d6-cde9-4b30-95e3-4e572ce5a00c,1891,,,"[110.0, 34.0]",7483,65,,,,,,,,,,,,,,,,,,2,From Corner,Alanna Stephanie Kennedy,5078.0,Right Center Midfield,140,Orlando Pride,764,"['217cf677-a8e9-4393-8f85-6912f4fec899', '34b0b23f-3e7d-482e-b3be-22874b66e070']",6,True,Head,"[119.0, 40.3, 4.4]",,"[{'location': [114.0, 30.0], 'player': {'id': 5067, 'name': 'Sydney Rae Leroux'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [105.0, 27.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [111.0, 31.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [113.0, 40.0], 'player': {'id': 4972, 'name': 'Katie Stengel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [110.0, 33.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [97.0, 28.0], 'player': {'id': 5086, 'name': 'Rachel Hill'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [116.0, 40.0], 'player': {'id': 5068, 'name': 'Kristen Edmonds'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [108.0, 31.0], 'player': {'id': 4987, 'name': 'Sydney Miramontez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 5031, 'name': 'Abby Smith'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.0, 46.0], 'player': {'id': 8199, 'name': 'Toni Pressley'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [118.0, 37.0], 'player': {'id': 4976, 'name': 'Lo’eau LaBonta'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [118.0, 43.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.0, 33.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [114.0, 45.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.0, 34.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",8cae9e7b-6b1d-4a5d-876e-d8c721196fb7,,Off T,0.060588382,Normal,Open Play,,,,Orlando Pride,764,00:20:06.941,Shot,True
,,,,,,,,,,,,,0.44,,,,,,,,,,,,,05e5c21a-9550-4431-b40e-a13bc88136d1,1924,,,"[114.0, 24.0]",7483,72,,,,,,,,,,,,,,,,,,2,Regular Play,Sydney Rae Leroux,5067.0,Right Center Forward,146,Orlando Pride,764,['535df554-41c0-4199-b240-cf2bddb8d6fa'],32,,Right Foot,"[117.0, 36.4, 0.5]",,"[{'location': [105.0, 26.0], 'player': {'id': 5063, 'name': 'Chioma Ubogagu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [98.0, 31.0], 'player': {'id': 4976, 'name': 'Lo’eau LaBonta'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [109.0, 30.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [90.0, 45.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [116.0, 33.0], 'player': {'id': 4987, 'name': 'Sydney Miramontez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.0, 38.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.0, 42.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.0, 24.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.0, 40.0], 'player': {'id': 5086, 'name': 'Rachel Hill'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [118.0, 37.0], 'player': {'id': 4969, 'name': 'Nicole Barnhart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",6d2da42c-172f-4d14-8c12-e57b798716c1,,Saved,0.015001686,Normal,Open Play,,,,Orlando Pride,764,00:27:32.785,Shot,
,,,,,,,,,,,,,0.11,,,,,,,,,,,,,ec652a49-dd24-47e8-89e5-9fa97d68efdd,1995,,,"[112.0, 47.0]",7483,74,,,,,,,,,,,,,,,,,,2,From Free Kick,Gunnhildur Yrsa Jónsdóttir,4975.0,Center Attacking Midfield,150,Utah Royals,767,"['859d215a-a668-4c6e-b66e-38397b99f050', 'a50298ac-22f9-417c-953b-b689868aaf54']",49,True,Head,"[110.0, 56.0]",,"[{'location': [101.0, 55.0], 'player': {'id': 5086, 'name': 'Rachel Hill'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [102.0, 44.0], 'player': {'id': 5068, 'name': 'Kristen Edmonds'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [101.0, 41.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [100.0, 52.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [88.0, 41.0], 'player': {'id': 4976, 'name': 'Lo’eau LaBonta'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [102.0, 32.0], 'player': {'id': 4987, 'name': 'Sydney Miramontez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [104.0, 41.0], 'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [111.0, 47.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.0, 44.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [107.0, 41.0], 'player': {'id': 5067, 'name': 'Sydney Rae Leroux'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [111.0, 41.0], 'player': {'id': 4972, 'name': 'Katie Stengel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [114.0, 38.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [113.0, 43.0], 'player': {'id': 5089, 'name': 'Ali Krieger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 46.0], 'player': {'id': 8199, 'name': 'Toni Pressley'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 5090, 'name': 'Ashlyn Harris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.0, 38.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",023acaee-179e-49e5-82fa-0b2a9a7178c1,,Wayward,0.054578062,Normal,Open Play,,,,Utah Royals,767,00:29:49.441,Shot,True
,,,,,,,,,,,,,0.398,,,,,,,,,,,,,6004ba49-3637-4e59-8257-1990e6cd44bf,2046,,,"[87.0, 22.0]",7483,76,,,,,,,,,,,,,,,,,,2,Regular Play,Chioma Ubogagu,5063.0,Left Midfield,154,Orlando Pride,764,"['02e654e8-c5fb-472f-a8c8-3e8d9209c920', '23095c30-8e05-45ab-81fc-b3900a58c678']",1,,Left Foot,"[94.0, 26.0]",,"[{'location': [92.0, 32.0], 'player': {'id': 4976, 'name': 'Lo’eau LaBonta'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [96.0, 22.0], 'player': {'id': 5067, 'name': 'Sydney Rae Leroux'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [87.0, 28.0], 'player': {'id': 4972, 'name': 'Katie Stengel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [84.0, 35.0], 'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [83.0, 41.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [119.0, 41.0], 'player': {'id': 4969, 'name': 'Nicole Barnhart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.0, 49.0], 'player': {'id': 5086, 'name': 'Rachel Hill'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [93.0, 28.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [92.0, 23.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [99.0, 46.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.0, 42.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.0, 23.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.0, 28.0], 'player': {'id': 4987, 'name': 'Sydney Miramontez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [87.0, 44.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [77.0, 45.0], 'player': {'id': 5068, 'name': 'Kristen Edmonds'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [77.0, 32.0], 'player': {'id': 8199, 'name': 'Toni Pressley'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}]",f7a097fe-c6a8-4645-9187-4ebc04ee9855,,Blocked,0.0059884223,Normal,Open Play,,,,Orlando Pride,764,00:31:01.936,Shot,
,,,,,,,,,,,,,2.326,,,,,,,,,,,,,51e12f04-6aa9-4e1b-aeb2-ab267513e5fc,2053,,,"[77.0, 23.0]",7483,76,,,,,,,,,,,,,,,,,,2,Regular Play,Toni Pressley,8199.0,Center Defensive Midfield,154,Orlando Pride,764,['81f80832-64c3-459d-9b60-26f695751bf0'],7,,Left Foot,"[120.0, 35.8, 5.6]",True,"[{'location': [91.0, 32.0], 'player': {'id': 4976, 'name': 'Lo’eau LaBonta'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [96.0, 23.0], 'player': {'id': 5067, 'name': 'Sydney Rae Leroux'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [100.0, 51.0], 'player': {'id': 5086, 'name': 'Rachel Hill'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [93.0, 27.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [100.0, 46.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [84.0, 25.0], 'player': {'id': 5063, 'name': 'Chioma Ubogagu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [118.0, 40.0], 'player': {'id': 4969, 'name': 'Nicole Barnhart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [83.0, 28.0], 'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [89.0, 24.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [98.0, 36.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.0, 26.0], 'player': {'id': 4987, 'name': 'Sydney Miramontez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [94.0, 19.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [85.0, 42.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [91.0, 44.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [83.0, 22.0], 'player': {'id': 4972, 'name': 'Katie Stengel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [78.0, 42.0], 'player': {'id': 5068, 'name': 'Kristen Edmonds'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",b093b16f-c219-4317-bf95-15ee4613e4ab,,Off T,0.005723953,Normal,Open Play,,,,Orlando Pride,764,00:31:07.338,Shot,
,,,,,,,,,,,,,0.69,,,,,,,,,,,,,808edb37-8f60-47a1-a4c8-1b8236785915,2095,,,"[110.0, 41.0]",7483,79,,,,,,,,,,,,,,,,,,2,From Throw In,Rachel Hill,5086.0,Left Center Forward,158,Orlando Pride,764,['1f3d04b5-47c7-408a-8da7-5242edb572e6'],26,,Head,"[119.0, 39.9, 1.1]",,"[{'location': [111.0, 45.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.0, 42.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 4969, 'name': 'Nicole Barnhart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.0, 47.0], 'player': {'id': 7182, 'name': 'Camila Martins Pereira'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",14614eea-518d-4bbd-b9e1-b4c521ea164f,,Saved,0.15056,Normal,Open Play,,,,Orlando Pride,764,00:34:26.524,Shot,
